,Model,Word,Expected Embedding,Embedding,Cosine Similarity
0,davinci,binche,"[-0.15452431  0.27044216 -0.19426286  0.26514253  0.22459903 -0.05416202
  0.21352102 -0.07856786  0.0864887   0.2116967   0.24868496 -0.11832994
  0.02629723  0.11440121  0.11725735  0.05108853 -0.06904209 -0.02334955
 -0.13095994  0.20838402  0.19772823  0.11192656 -0.04911076 -0.01641883
 -0.21496543 -0.02738125  0.05603984 -0.32729915 -0.01262364 -0.09863707
 -0.0721768  -0.1428102   0.03299246  0.25783655 -0.1047008   0.02186709
  0.21605414  0.14315134  0.23543182  0.03189005 -0.02157369  0.0299635
  0.18941684  0.00327931 -0.01584854  0.07915691  0.05393587  0.15624933
 -0.01009676 -0.29254332  0.16455635  0.16946742 -0.06218576  0.21049729
 -0.11314879 -0.00263474  0.0140862  -0.16115741 -0.01140527 -0.04690279
  0.03239655  0.20258884  0.03206906  0.15568373  0.18234766 -0.12158233
 -0.2803755   0.23173356 -0.16863327  0.26669994  0.14983636  0.06230469
 -0.28657064  0.23951338  0.34013993  0.00680507  0.09483919 -0.12892076
  0.08772098  0.06163856 -0.17258276  0.19908537  0.08218431  0.05978167
 -0.4874017  -0.00113067 -0.0105399   0.01070522 -0.06697915 -0.13666023
  0.00802362  0.18809457  0.04379131 -0.0069945   0.2766862  -0.11340415
  0.03474334  0.04195772  0.09623919  0.02677551  0.02241064  0.03573626
  0.08498032  0.0682459   0.23664309  0.00161675 -0.13284518 -0.26753506
  0.04645138  0.01936735 -0.01286498 -0.16540712 -0.2173085   0.0998908
  0.085567   -0.2936259  -0.04864264  0.08257911 -0.16314045 -0.0119465
  0.11999549 -0.09337854  0.05022977  0.06137266  0.06408809 -0.13635898
  0.08001179  0.0673874  -0.30617407 -0.26655644 -0.27161533 -0.10058083
  0.04217091  0.02680974  0.11918227  0.06659569 -0.05817049  0.34805632
  0.16536492  0.149828   -0.02129486  0.43738806 -0.0121975   0.08604354
 -0.19277804  0.06278738  0.2036785   0.00474726 -0.01167641  0.4393873
  0.15317489 -0.03991381 -0.1332205  -0.10387521 -0.07800904 -0.21959744
 -0.08671199 -0.0299881   0.04376131  0.04696574  0.29492795 -0.07796495
  0.10680555  0.24810767  0.04304309 -0.15640733 -0.02255055 -0.09784434
  0.04852961 -0.10979286  0.10730454  0.18718135 -0.0342114   0.08073106
  0.11928731 -0.13344976 -0.28796917  0.18775868 -0.10666246 -0.06722351
  0.04265419 -0.31860116 -0.24201865  0.07657328 -0.26112434  0.36200216
  0.04499757 -0.0766746  -0.04751495  0.04797062 -0.02253237  0.11657495
  0.17672235 -0.20998162  0.17522371 -0.31267977  0.1603657  -0.14100355
 -0.12378374 -0.04025869 -0.43282992  0.06307536 -0.0112684  -0.12028496
  0.21714586 -0.08019027  0.05626238  0.04409982 -0.17397453  0.12355445
 -0.07943033  0.19784413 -0.21947631  0.08383919  0.12325219 -0.03014855
 -0.02101495  0.02379699  0.12655681 -0.09006606 -0.40511167  0.0544299
 -0.01046716 -0.17487076  0.01540175 -0.08752321  0.05476853  0.16542047
 -0.11698186 -0.19755591 -0.17952915 -0.1776933  -0.00882499 -0.00890537
 -0.2866762  -0.257826    0.23342094 -0.00810406  0.05716667 -0.11843207
 -0.3169297  -0.10029046 -0.17218317 -0.04922587 -0.03529211  0.25009966
  0.00704007 -0.10178633 -0.00156036  0.19163887 -0.1867813  -0.14147009
 -0.03474187  0.02329973  0.00087039  0.31870064 -0.11275319 -0.00280834
 -0.18150982 -0.26134577  0.0568737   0.17066547  0.10013694 -0.06067889
  0.04205364  0.24556018 -0.09870096  0.17437378 -0.0504817   0.10375615
 -0.08704869  0.05876959  0.28186318  0.02346765 -0.19577509 -0.04745643
  0.19418232 -0.25170922  0.13214985 -0.23040529 -0.10637103 -0.16475345
  0.30512762  0.14856172  0.02653081  0.21577205  0.09048226  0.14719115
 -0.09260428  0.04620703 -0.35094473  0.09114233 -0.09857635  0.09198633
  0.23563428 -0.10694107  0.02986984  0.06270918  0.09465865  0.13000059
  0.22251861 -0.1702897  -0.03486088  0.1004975   0.06258296 -0.10711842
 -0.04361769  0.11361122  0.05875499  0.04769864 -0.25859317  0.0694669
 -0.1403948   0.02926682  0.11765154 -0.26662084 -0.32851437 -0.00504319
 -0.16485184 -0.14171718 -0.08496933  0.11255052  0.18939696 -0.15173602
 -0.20511998  0.06157748  0.19162707 -0.22060809 -0.12417956  0.16773286
 -0.16964231  0.15994112  0.05208807 -0.08152756 -0.26242667  0.13354352
 -0.06298553 -0.1897751  -0.07747921  0.06178498  0.26958385  0.04394053
 -0.11984163 -0.10423351  0.05126191  0.12536983  0.04401412 -0.11178585
 -0.09506818 -0.02081128  0.1372163   0.19049528  0.14231622  0.07078619
  0.02609305 -0.09802703 -0.16968332 -0.25303978 -0.0225105  -0.2265194
 -0.00720252 -0.15731145  0.22795466  0.00053317  0.16817534  0.04495554
 -0.20338756  0.26977837 -0.10969088 -0.27543998 -0.04082041 -0.17808753
 -0.02472538  0.07720312 -0.08672294 -0.11752372  0.15880415  0.365244
 -0.05508446 -0.04513408 -0.02084879 -0.13019165  0.07648044 -0.13171045]","[-0.14295664  0.34583807  0.17155163 -0.08452332 -0.09774069 -0.192665
  0.35371086 -0.02781871 -0.1983129   0.12912504 -0.20034432 -0.06803668
  0.13696769  0.05790659  0.16706859 -0.06066878  0.22009312  0.10355936
  0.2666456   0.11201068  0.15799531 -0.11379627  0.12065828 -0.08443366
  0.00911684 -0.0738202  -0.08718822 -0.11346596  0.14984982 -0.07223622
  0.00444983  0.1131456  -0.06460498  0.18108395 -0.26721233  0.20778926
 -0.16600692  0.09558051  0.00196876  0.18390729 -0.29409012  0.06040525
 -0.10636222  0.13680322  0.09405404 -0.09779181  0.20185804 -0.06792425
 -0.05561522 -0.01283177  0.02779139  0.21933918 -0.03354579 -0.21521015
  0.12209339 -0.01294678  0.20733131 -0.22311027  0.0176073  -0.12848715
  0.04261628 -0.00891357 -0.15460828  0.14125893  0.16273119 -0.15244375
 -0.03062915 -0.08423775 -0.04724776  0.1394177   0.11090589 -0.33696538
 -0.09414319  0.24284647  0.16787192 -0.07453208 -0.11602892 -0.03541147
 -0.24313329 -0.08648561 -0.44588444  0.20729248  0.1747898  -0.18189152
 -0.30178928  0.27935362 -0.18807195  0.03052703 -0.27420872  0.07788344
  0.07478108  0.27726108 -0.03484385  0.28116164  0.18336895 -0.23865809
  0.23368165 -0.08757646  0.00749143  0.61910343  0.14634363  0.11349308
 -0.14357434 -0.08577611 -0.00916413  0.02122336 -0.15762475 -0.33222455
 -0.18630464  0.05997998 -0.06822845  0.1436137  -0.25573727 -0.01564138
 -0.26699153 -0.15436338 -0.17313811 -0.08522611 -0.03819988  0.02767288
 -0.17375708  0.00946053 -0.23348734  0.10592135 -0.19173194 -0.35273784
  0.11455616  0.2039787  -0.23115885  0.21370639  0.02680382  0.1217273
  0.2422003   0.06719673 -0.0979033   0.14470705  0.03875516  0.26277754
  0.21300338 -0.23358202 -0.40849206  0.38331175  0.22201075 -0.19144467
 -0.01109291 -0.12576106 -0.06042486 -0.13296461 -0.18858859  0.11852275
  0.12314772 -0.11870883  0.21768332  0.4069179  -0.00092994  0.10697873
 -0.22399291  0.03992832  0.21251304 -0.00186116  0.03096662 -0.28102726
 -0.28166485  0.11500017 -0.14980018 -0.11689498 -0.08655082 -0.07280803
  0.25594988 -0.21636336 -0.07669023  0.23222752  0.03543856 -0.05924803
 -0.15064849 -0.14511487 -0.24567267 -0.3204639   0.14508191  0.07658001
  0.32519442  0.32715675 -0.03456078 -0.00524112 -0.09050984 -0.2939687
  0.07275522  0.03554367  0.17286608  0.14605343 -0.00402869  0.07683582
  0.14413758 -0.0494658   0.05054008 -0.04819363 -0.1127391  -0.23178925
 -0.11065403 -0.01345056  0.06986086 -0.03075009 -0.18541119  0.14120288
  0.21401273 -0.08966426  0.05230061 -0.1965539  -0.06578135  0.05766761
 -0.01070086 -0.22489777 -0.12478079  0.04410004  0.12778626 -0.10931771
 -0.06535939 -0.21824254 -0.20538808 -0.02032237 -0.13157132 -0.12972668
 -0.25678512 -0.44521353  0.08131848 -0.25669947  0.10137904  0.23704414
 -0.02775076 -0.06424342 -0.11914546 -0.24012136 -0.22030894  0.08112429
 -0.09273497 -0.08085285  0.13796523 -0.4492082   0.25519094  0.1929441
 -0.18897597  0.04648263 -0.04437557 -0.11753667  0.04879266  0.13060749
  0.05229085 -0.07824492  0.08590151  0.1624645  -0.13007715 -0.12397525
  0.13990104  0.42278486  0.12344289  0.0443317   0.0198129   0.12092452
  0.12885748 -0.3334294   0.35911196 -0.2184474   0.1063211  -0.3856423
  0.05328247  0.14070646  0.03420268  0.58871907 -0.04927086 -0.20213175
 -0.27264264  0.3296297   0.1354089  -0.11852308  0.46901914 -0.1379324
  0.2769657  -0.35230157 -0.00658099  0.29004353 -0.302026   -0.2945766
  0.14445718  0.1550636   0.04366147  0.04679387 -0.17674531 -0.19644877
  0.15880322 -0.05410353 -0.07300913  0.34325376 -0.21222018  0.13858329
  0.44737795  0.20410207  0.16995178  0.19411887  0.10735137  0.10552091
  0.17641605 -0.18063195 -0.20821679  0.19065492  0.05100055 -0.11185468
 -0.03147314  0.29916176  0.15974781 -0.09775178 -0.3157304   0.33595863
 -0.36621055  0.02154636  0.1210252  -0.04637088 -0.0406657   0.26709032
  0.03784825 -0.4802449  -0.03238394 -0.02569777 -0.00201938 -0.32216984
 -0.4067084  -0.04638836  0.12985526 -0.1265665  -0.05555244 -0.35524035
 -0.09764002 -0.01819687 -0.17110994  0.38322857 -0.20938095 -0.03935906
  0.00637741 -0.01282414 -0.14300892 -0.04559068  0.13354155  0.2304946
  0.06977956 -0.07420187 -0.3187674  -0.09364075 -0.13352984  0.13906416
  0.10340496 -0.12113384  0.02152936  0.39781305  0.17442465  0.24605624
  0.10692287 -0.25230548 -0.14535391 -0.24319388 -0.05590061  0.16980255
  0.32700095 -0.51418096  0.1890329   0.23144707 -0.02564813  0.17577362
 -0.13723491  0.01981593 -0.13779424  0.2533174   0.32122946  0.02852932
  0.1091607   0.07609899 -0.19042727  0.12611248 -0.04549937  0.13163112
  0.39883083  0.13582106  0.01454306 -0.2856112   0.19103268  0.21130946]",0.29076803
1,davinci,cacaratear,"[ 5.97935200e-01  2.28165165e-01 -3.91860446e-03  1.21720701e-01
 -3.02251607e-01 -1.03958413e-01  4.48806465e-01  3.53041999e-02
 -2.10238490e-02 -2.44636714e-01  1.13551863e-01  1.02153443e-01
  1.25259653e-01  9.82116386e-02  5.98805964e-01  3.81281763e-01
  4.18743908e-01 -9.33210179e-02 -1.59193575e-01 -2.10599557e-01
 -5.35808951e-02  2.03061298e-01  8.73877630e-02  2.39306062e-01
 -1.85179219e-01  5.16452082e-02 -1.60105318e-01 -1.15271851e-01
 -1.09071948e-01  1.57966137e-01  1.78117454e-01  2.68327743e-01
  4.18279529e-01  1.90888420e-01 -1.44996688e-01  4.25308526e-01
 -1.06014296e-01  7.05536082e-02 -1.43217653e-01 -9.15518329e-02
 -4.13683988e-02  8.06004107e-02  9.62406471e-02 -5.82687855e-02
 -2.43567422e-01 -2.04416931e-01 -1.38301507e-01  4.86285798e-02
 -3.49550396e-02 -1.37860894e-01 -8.51118639e-02  1.31406307e-01
 -6.43966869e-02  2.51961470e-01  7.33625963e-02 -8.38039964e-02
  1.54756093e-02  2.73683906e-01  1.29563576e-02  1.94511414e-01
 -1.94976315e-01 -8.46244991e-02 -9.08732712e-02  2.61924237e-01
 -2.71846414e-01  1.22418575e-01 -1.52099550e-01  3.15698951e-01
 -5.35214782e-01  3.46406341e-01  1.55609950e-01  3.38654257e-02
 -1.67165607e-01  3.07895571e-01  2.02254355e-02  1.20532364e-01
 -1.58833787e-01  3.24509665e-02  3.49925578e-01  1.13011807e-01
 -2.58822888e-01  3.08799427e-02 -9.05261040e-02  9.68336165e-02
 -2.16568813e-01 -2.18213047e-03  8.02638978e-02  2.72618026e-01
 -2.79636309e-02 -1.70547694e-01 -4.23374176e-01  1.72942817e-01
  1.37033746e-01  7.01976120e-02 -1.47357807e-01 -1.98481157e-02
  3.20353866e-01 -6.19844086e-02 -2.74542361e-01  4.06588078e-01
  2.07880601e-01  4.45411175e-01  1.94470391e-01 -1.47218034e-01
  6.63964972e-02 -8.76687691e-02 -4.46690880e-02  4.34700176e-02
 -1.41756266e-01  2.51356483e-01 -2.52991825e-01 -2.95101285e-01
 -7.08581284e-02 -1.97375864e-01  8.18502381e-02 -1.21626422e-01
  4.65231650e-02  7.56841199e-03 -3.65069248e-02  6.72031641e-02
 -6.02363832e-02  1.03634767e-01  1.17308252e-01  6.01097904e-02
  2.46517975e-02 -3.15396607e-01  4.23858650e-02  1.30618751e-01
  8.19084123e-02  2.14538962e-01 -1.55978941e-03  3.53024185e-01
 -8.32530782e-02 -5.25765084e-02  6.84304163e-02 -2.22229972e-01
  3.31257403e-01  1.31907359e-01  1.22262113e-01 -4.99869250e-02
  3.41771722e-01  3.14016134e-01  8.35791528e-02  2.79410351e-02
 -1.13204263e-01  1.82460025e-01 -8.86343047e-02 -1.29302919e-01
  9.69209597e-02 -9.96070877e-02 -1.25486657e-01  2.36495718e-01
  2.66949922e-01 -2.54573226e-01 -2.45839227e-02 -2.07796097e-01
  2.76317187e-02 -5.02868332e-02 -1.40197501e-01  2.33567487e-02
  8.76615122e-02  1.41431004e-01  5.55489101e-02 -1.27252594e-01
 -1.70888007e-01 -8.72070119e-02 -5.01629710e-02 -6.71150908e-02
  1.00268595e-01 -2.58457750e-01  1.35414034e-01 -1.04184151e-01
  2.23526418e-01  5.79960495e-02  1.50967300e-01 -1.56599745e-01
 -4.69889730e-01  2.00335458e-01  3.64239365e-02 -8.49712938e-02
 -1.23217277e-01  1.57098100e-01 -2.28282109e-01 -4.64732759e-02
 -2.81541765e-01 -4.57447879e-02 -7.44051635e-02 -1.33478483e-02
  9.50628594e-02 -2.97666248e-02 -2.69128568e-02 -1.10432170e-01
 -3.12361848e-02 -2.62150079e-01 -2.96808183e-01  1.33239478e-01
  1.13541491e-01 -1.56746373e-01 -8.07390288e-02  1.25874504e-01
 -3.72943848e-01 -3.72771583e-02 -2.46084914e-01  1.42707184e-01
  3.21877003e-01  8.47662613e-03  1.85244173e-01  2.32871681e-01
  1.93043664e-01  1.73997745e-01 -1.35158189e-02  2.15631425e-01
  2.85276230e-02 -2.02990510e-02  1.27684381e-02 -8.08374882e-02
  9.16924477e-02  3.78284574e-01 -2.80928254e-01  3.15855294e-02
  9.80448723e-02 -3.13582838e-01 -5.87248057e-02 -3.50924909e-01
  1.46399736e-01  7.04684779e-02 -3.44650485e-02  2.56231993e-01
 -4.93239611e-02  4.37023230e-02  9.64378119e-02  1.43283710e-01
  3.59734505e-01 -6.08416321e-03 -4.69710529e-01 -1.67208254e-01
  2.41217911e-01  8.21258686e-03  3.51791024e-01  4.57093604e-02
 -1.05513282e-01 -5.80009669e-02  4.73578796e-02  1.00992776e-01
 -1.52892753e-01 -3.82727245e-03 -3.20835948e-01 -1.00493617e-01
 -1.56654656e-01  9.17833820e-02 -4.62085288e-03 -3.68757159e-01
 -6.09486699e-02  5.45034409e-02 -4.34090681e-02  1.26089916e-01
 -1.93541065e-01 -2.53253407e-03  6.70614541e-02  3.05349082e-01
 -8.57368018e-03 -1.55991623e-02 -1.58382788e-01  7.15288445e-02
 -7.50285685e-02 -3.16301703e-01 -2.09422126e-01  1.40929550e-01
  1.49239108e-01 -1.67822793e-01 -7.13252068e-01 -1.35500267e-01
 -3.08053702e-01 -4.98272292e-02 -3.93574685e-03 -6.40365183e-02
  6.67758286e-02 -2.64311284e-01 -9.34453011e-02 -1.79148033e-01
 -1.36481032e-01 -8.81325305e-02  1.50827274e-01  1.39755815e-01
  2.35143229e-01 -4.56503779e-01 -1.10311978e-01  5.71033508e-02
  1.24578759e-01  1.39040127e-01 -1.99264199e-01  3.02481085e-01
  1.53407902e-01 -2.03365892e-01 -1.24524787e-01 -2.18420267e-01
 -6.42938837e-02  8.18523858e-03 -1.66051358e-01  9.57170650e-02
 -1.72355995e-01 -2.91784942e-01 -1.60781160e-01 -3.10803056e-02
  7.70680234e-02 -1.10082239e-01 -3.76293920e-02 -2.34378561e-01
 -3.66850500e-03 -9.38637704e-02 -2.58766949e-01  2.55769998e-01
  4.76015173e-02 -1.42856643e-01  1.30537018e-01  1.37031525e-01
 -8.59520733e-02  1.31585687e-01 -2.51487076e-01 -3.82641315e-01
  6.97515309e-02 -6.32708371e-02  5.62162176e-02 -6.66317046e-02
  2.83724338e-01  1.09604314e-01  2.74238199e-01 -2.41646469e-01
 -3.96375824e-03  2.61400968e-01  3.71501930e-02 -1.78874761e-01
 -2.50171840e-01 -6.22960366e-02  1.41619653e-01  1.71371698e-01
 -1.31603554e-01 -3.79623324e-01 -1.23122118e-01  1.62108481e-01
  2.03627244e-01 -1.45892844e-01 -2.14598194e-01  3.56588244e-01
 -4.51367944e-02  1.43815756e-01  3.01224232e-01 -1.38444155e-02
 -3.94481957e-01  2.14081332e-01 -2.62335092e-01  1.68875426e-01
 -6.79629326e-01 -8.66282657e-02 -1.86966479e-01  3.45018543e-02
 -1.65789530e-01 -3.78705889e-01  1.66378856e-01  4.86419909e-02
 -1.42068982e-01 -1.72090471e-01  1.17395170e-01  2.19313100e-01
  8.63754079e-02 -4.40331288e-02 -3.09582129e-02 -3.16719681e-01
 -1.88732371e-01 -7.73093700e-02  1.46845728e-01  1.51177561e-02
  1.07704945e-01  3.76544267e-01  2.18226295e-03  2.47557400e-05
 -7.35225603e-02  2.36906424e-01 -1.13158919e-01  2.38368973e-01
  1.64048925e-01  2.74531782e-01  6.57412261e-02 -3.07289679e-02]","[ 0.43317002 -0.07921113 -0.02420576  0.06730933 -0.12506065 -0.32624182
  0.30715612  0.1890389  -0.02825723 -0.12750985  0.0757374  -0.05690843
 -0.01493959  0.1599646   0.22875051  0.13610697  0.24796449 -0.03085838
 -0.08587447 -0.03909617  0.04272354  0.05936234  0.27538076  0.05812281
 -0.21838216  0.02655352 -0.25240728 -0.22428484 -0.1012996  -0.06624909
 -0.02305948  0.16953854  0.34233722  0.04837622 -0.12598315  0.327283
 -0.19715032  0.42498714  0.053463   -0.04732019 -0.18151346  0.02257784
  0.03294654  0.03218949 -0.2053726  -0.12592168 -0.13195907  0.13490377
 -0.2027241  -0.03649041 -0.2410993  -0.07977337 -0.10444922 -0.08622041
 -0.02839971 -0.09913284  0.1308679   0.09620262  0.04457864  0.1290797
 -0.00621151 -0.09167208 -0.25388905  0.3222598   0.03089316  0.05072406
  0.07480747  0.11933672 -0.3758979   0.5605019   0.05459451  0.03726268
 -0.04980377  0.37477842  0.23852167 -0.20665804 -0.08712495  0.11941706
  0.11658423 -0.00438845 -0.01203032  0.04740764 -0.05676161 -0.0452386
 -0.2087715   0.09915978  0.19100116  0.3228912   0.03931672 -0.19688872
 -0.1173081  -0.0114809   0.33256024  0.21281236  0.02489979 -0.0332964
  0.12443709 -0.05062097 -0.00694376  0.46175653  0.13528077  0.32700175
  0.00343218 -0.01252708  0.25940892 -0.05724158  0.10355451 -0.40395832
 -0.04405067  0.0296916  -0.31616256  0.05233089  0.09816585 -0.12437066
 -0.00578887  0.11705022  0.24918127  0.13844724  0.09081216  0.18189776
 -0.1029506   0.00997547  0.07309993  0.01472875  0.11186062 -0.14508247
 -0.0934792   0.03531044 -0.02207079  0.06487893  0.14404571  0.11853332
  0.00908445  0.05810564 -0.00713141 -0.24962461  0.30126008  0.07747316
  0.21548858 -0.11829864  0.18807688  0.26791626  0.12648888  0.04371665
 -0.1578035   0.23423006 -0.13344508 -0.36295956  0.01622134 -0.00218689
  0.03896227  0.10141474  0.13952655 -0.01230697  0.07177335 -0.01426862
 -0.02778395 -0.07422157 -0.10736036 -0.10219616 -0.08622205  0.10956333
  0.0034295  -0.17373137 -0.0352301  -0.039427    0.17461026 -0.01992386
 -0.08847587 -0.13030708  0.20053399 -0.0129135  -0.08458538  0.07570474
  0.1225295   0.06261021 -0.44877988  0.03282423  0.22123952 -0.04198671
  0.24996608 -0.00237421 -0.34185606 -0.07582265 -0.00475228 -0.19882542
  0.13926195 -0.07495846  0.0780424   0.03344535 -0.08378989 -0.1434545
 -0.03255717 -0.13683754 -0.27193004  0.02286353  0.13426727 -0.2109086
 -0.32937238  0.19268475 -0.39343804 -0.03996506 -0.04425805  0.1170634
  0.1004559  -0.17989656 -0.10027451  0.14195509  0.15636317  0.15830517
  0.01800531 -0.00412608 -0.18030882 -0.21732835 -0.01024267  0.05847066
 -0.03592903  0.22285967 -0.20821658  0.1033387  -0.01898189 -0.20034234
  0.18365367 -0.37687853  0.06953858  0.14893438 -0.15705836  0.42649993
 -0.14407296  0.07212792  0.07796246 -0.11570729  0.33635616 -0.3108542
 -0.6106871  -0.06250077  0.19566202 -0.05306299  0.10478001  0.04451339
 -0.33364654  0.07336179 -0.20979814  0.08923135 -0.07623205 -0.07889047
 -0.20935583 -0.10262182 -0.07448469  0.29405332 -0.08686286 -0.21667032
  0.0125659   0.256123    0.05558751  0.23715216 -0.14228481 -0.17495944
  0.1240055   0.15014347  0.01163698 -0.09387292  0.00179769  0.16724232
 -0.12158714 -0.09212504 -0.31368905  0.03891287 -0.01998433 -0.48390356
 -0.3269516   0.00150648 -0.18380505 -0.13774851 -0.01106401 -0.12083997
  0.06353483 -0.05369157 -0.16282743  0.19812803 -0.09493971 -0.1713408
  0.01607768  0.14791854 -0.0506792  -0.02434432 -0.36027545 -0.05935622
  0.22839054  0.26480263 -0.11632843  0.08441668  0.17306162  0.02237419
 -0.02648352  0.11006382 -0.19931611 -0.05950183 -0.09629673  0.17923608
 -0.11821926 -0.10794871 -0.34518868  0.01586949  0.07931536 -0.10513955
 -0.00395379  0.15382396  0.08759461  0.11848574 -0.23796748  0.04605614
  0.02512609  0.156465    0.2519015   0.01888978  0.00316163  0.18581894
 -0.12564348 -0.42648613  0.09854949 -0.08003443 -0.01002334  0.12059798
  0.18042184 -0.07753471  0.02326446 -0.21413147 -0.14639278 -0.08544162
 -0.31964046 -0.13549349 -0.22053565 -0.04895063  0.02582951  0.14943413
  0.09129709 -0.08550463 -0.1095084   0.1934096   0.04065282  0.11439814
 -0.30244845  0.22225349 -0.3145162   0.16874938  0.16975737  0.1421788
 -0.17864497  0.22018346 -0.04012428  0.14148922 -0.40124598 -0.02098585
 -0.10949042  0.14255188  0.01267435 -0.13326778 -0.00107859  0.06301465
 -0.04921898 -0.35875046 -0.0886226   0.31968144 -0.03928054  0.1838692
 -0.15176621 -0.1213999  -0.05276423  0.06697065  0.20337412 -0.19151008
  0.01136265  0.16990796 -0.07315037  0.2535842   0.10685458  0.2996847
 -0.05581601  0.08761721  0.2351743   0.22095978  0.15790018  0.03610264]",0.6593162
